"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupacio","Nombre"
2021,1,8,"Nou Barris",50,"les Roquetes","Dones","Atur Registrat",672
2021,1,8,"Nou Barris",51,"Verdun","Dones","Atur Registrat",515
2021,1,8,"Nou Barris",52,"la Prosperitat","Dones","Atur Registrat",1014
2021,1,8,"Nou Barris",53,"la Trinitat Nova","Dones","Atur Registrat",451
2021,1,8,"Nou Barris",54,"Torre Baró","Dones","Atur Registrat",125
2021,1,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Atur Registrat",652
2021,1,8,"Nou Barris",56,"Vallbona","Dones","Atur Registrat",76
2021,1,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Atur Registrat",604
2021,1,9,"Sant Andreu",58,"Baró de Viver","Dones","Atur Registrat",82
2021,1,9,"Sant Andreu",59,"el Bon Pastor","Dones","Atur Registrat",465
2021,1,9,"Sant Andreu",60,"Sant Andreu","Dones","Atur Registrat",1883
2021,1,9,"Sant Andreu",61,"la Sagrera","Dones","Atur Registrat",882
2021,1,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Atur Registrat",430
2021,1,9,"Sant Andreu",63,"Navas","Dones","Atur Registrat",661
2021,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Atur Registrat",1212
2021,1,10,"Sant Martí",65,"el Clot","Dones","Atur Registrat",847
2021,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Atur Registrat",419
2021,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Atur Registrat",279
2021,1,10,"Sant Martí",68,"el Poblenou","Dones","Atur Registrat",958
2021,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Atur Registrat",445
2021,1,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Atur Registrat",1017
2021,1,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Atur Registrat",670
2021,1,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Atur Registrat",916
2021,1,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Atur Registrat",1035
2021,1,99,"No consta",99,"No consta","Dones","Atur Registrat",70
2021,1,1,"Ciutat Vella",1,"el Raval","Dones","Demanda No Aturats",3272
2021,1,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Demanda No Aturats",768
2021,1,1,"Ciutat Vella",3,"la Barceloneta","Dones","Demanda No Aturats",848
2021,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Demanda No Aturats",1189
2021,1,2,"Eixample",5,"el Fort Pienc","Dones","Demanda No Aturats",1401
2021,1,2,"Eixample",6,"la Sagrada Família","Dones","Demanda No Aturats",2335
