"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Demanda_ocupació","Nombre"
2018,1,10,"Sant Martí",73,"la Verneda i la Pau","Homes","Atur registrat","715"
2018,1,99,"No consta",99,"No consta","Homes","Atur registrat","4"
2018,1,1,"Ciutat Vella",1,"el Raval","Homes","Demanda no aturats","500"
2018,1,1,"Ciutat Vella",2,"el Barri Gòtic","Homes","Demanda no aturats","153"
2018,1,1,"Ciutat Vella",3,"la Barceloneta","Homes","Demanda no aturats","157"
2018,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Homes","Demanda no aturats","216"
2018,1,2,"Eixample",5,"el Fort Pienc","Homes","Demanda no aturats","163"
2018,1,2,"Eixample",6,"la Sagrada Família","Homes","Demanda no aturats","263"
2018,1,2,"Eixample",7,"la Dreta de l'Eixample","Homes","Demanda no aturats","129"
2018,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Homes","Demanda no aturats","184"
2018,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Homes","Demanda no aturats","306"
2018,1,2,"Eixample",10,"Sant Antoni","Homes","Demanda no aturats","218"
2018,1,3,"Sants-Montjuïc",11,"el Poble Sec","Homes","Demanda no aturats","288"
2018,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Homes","Demanda no aturats","16"
2018,1,3,"Sants-Montjuïc",13,"la Marina de Port","Homes","Demanda no aturats","195"
2018,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Homes","Demanda no aturats","72"
2018,1,3,"Sants-Montjuïc",15,"Hostafrancs","Homes","Demanda no aturats","96"
2018,1,3,"Sants-Montjuïc",16,"la Bordeta","Homes","Demanda no aturats","112"
2018,1,3,"Sants-Montjuïc",17,"Sants - Badal","Homes","Demanda no aturats","107"
2018,1,3,"Sants-Montjuïc",18,"Sants","Homes","Demanda no aturats","221"
2018,1,4,"Les Corts",19,"les Corts","Homes","Demanda no aturats","231"
2018,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Homes","Demanda no aturats","106"
2018,1,4,"Les Corts",21,"Pedralbes","Homes","Demanda no aturats","24"
2018,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Homes","Demanda no aturats","11"
2018,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Homes","Demanda no aturats","54"
2018,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Homes","Demanda no aturats","44"
2018,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Homes","Demanda no aturats","64"
2018,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Homes","Demanda no aturats","107"
2018,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Homes","Demanda no aturats","110"
2018,1,6,"Gràcia",28,"Vallcarca i els Penitents","Homes","Demanda no aturats","77"
2018,1,6,"Gràcia",29,"el Coll","Homes","Demanda no aturats","33"
2018,1,6,"Gràcia",30,"la Salut","Homes","Demanda no aturats","66"
2018,1,6,"Gràcia",31,"la Vila de Gràcia","Homes","Demanda no aturats","246"
2018,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Homes","Demanda no aturats","162"
2018,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Homes","Demanda no aturats","130"
2018,1,7,"Horta-Guinardó",34,"Can Baró","Homes","Demanda no aturats","47"
2018,1,7,"Horta-Guinardó",35,"el Guinardó","Homes","Demanda no aturats","171"
2018,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Homes","Demanda no aturats","52"
2018,1,7,"Horta-Guinardó",37,"el Carmel","Homes","Demanda no aturats","179"
2018,1,7,"Horta-Guinardó",38,"la Teixonera","Homes","Demanda no aturats","58"
2018,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Homes","Demanda no aturats","36"
2018,1,7,"Horta-Guinardó",40,"Montbau","Homes","Demanda no aturats","26"
2018,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Homes","Demanda no aturats","27"
2018,1,7,"Horta-Guinardó",42,"la Clota","Homes","Demanda no aturats","2"
2018,1,7,"Horta-Guinardó",43,"Horta","Homes","Demanda no aturats","162"
2018,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Homes","Demanda no aturats","154"
2018,1,8,"Nou Barris",45,"Porta","Homes","Demanda no aturats","141"
2018,1,8,"Nou Barris",46,"el Turó de la Peira","Homes","Demanda no aturats","98"
2018,1,8,"Nou Barris",47,"Can Peguera","Homes","Demanda no aturats","14"
2018,1,8,"Nou Barris",48,"la Guineueta","Homes","Demanda no aturats","109"
2018,1,8,"Nou Barris",49,"Canyelles","Homes","Demanda no aturats","53"
2018,1,8,"Nou Barris",50,"les Roquetes","Homes","Demanda no aturats","115"
2018,1,8,"Nou Barris",51,"Verdun","Homes","Demanda no aturats","88"
2018,1,8,"Nou Barris",52,"la Prosperitat","Homes","Demanda no aturats","159"
2018,1,8,"Nou Barris",53,"la Trinitat Nova","Homes","Demanda no aturats","63"
2018,1,8,"Nou Barris",54,"Torre Baró","Homes","Demanda no aturats","17"
2018,1,8,"Nou Barris",55,"Ciutat Meridiana","Homes","Demanda no aturats","90"
2018,1,8,"Nou Barris",56,"Vallbona","Homes","Demanda no aturats","10"
2018,1,9,"Sant Andreu",57,"la Trinitat Vella","Homes","Demanda no aturats","83"
2018,1,9,"Sant Andreu",58,"Baró de Viver","Homes","Demanda no aturats","15"
2018,1,9,"Sant Andreu",59,"el Bon Pastor","Homes","Demanda no aturats","85"
2018,1,9,"Sant Andreu",60,"Sant Andreu","Homes","Demanda no aturats","343"
2018,1,9,"Sant Andreu",61,"la Sagrera","Homes","Demanda no aturats","163"
2018,1,9,"Sant Andreu",62,"el Congrés i els Indians","Homes","Demanda no aturats","79"
2018,1,9,"Sant Andreu",63,"Navas","Homes","Demanda no aturats","120"
2018,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Homes","Demanda no aturats","204"
2018,1,10,"Sant Martí",65,"el Clot","Homes","Demanda no aturats","147"
2018,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Homes","Demanda no aturats","73"
2018,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Homes","Demanda no aturats","48"
2018,1,10,"Sant Martí",68,"el Poblenou","Homes","Demanda no aturats","164"
2018,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Homes","Demanda no aturats","84"
2018,1,10,"Sant Martí",70,"el Besòs i el Maresme","Homes","Demanda no aturats","190"
2018,1,10,"Sant Martí",71,"Provençals del Poblenou","Homes","Demanda no aturats","115"
2018,1,10,"Sant Martí",72,"Sant Martí de Provençals","Homes","Demanda no aturats","151"
2018,1,10,"Sant Martí",73,"la Verneda i la Pau","Homes","Demanda no aturats","169"
2018,1,99,"No consta",99,"No consta","Homes","Demanda no aturats","3"
2018,1,1,"Ciutat Vella",1,"el Raval","Dones","Atur registrat","1457"
2018,1,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Atur registrat","430"
2018,1,1,"Ciutat Vella",3,"la Barceloneta","Dones","Atur registrat","503"
2018,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Atur registrat","695"
2018,1,2,"Eixample",5,"el Fort Pienc","Dones","Atur registrat","692"
2018,1,2,"Eixample",6,"la Sagrada Família","Dones","Atur registrat","1152"
2018,1,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Atur registrat","738"
2018,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Atur registrat","785"
2018,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Atur registrat","1177"
2018,1,2,"Eixample",10,"Sant Antoni","Dones","Atur registrat","836"
2018,1,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Atur registrat","1157"
2018,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Atur registrat","46"
2018,1,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Atur registrat","978"
2018,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Atur registrat","294"
2018,1,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Atur registrat","410"
2018,1,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Atur registrat","482"
2018,1,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Atur registrat","493"
2018,1,3,"Sants-Montjuïc",18,"Sants","Dones","Atur registrat","964"
2018,1,4,"Les Corts",19,"les Corts","Dones","Atur registrat","970"
2018,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Atur registrat","487"
2018,1,4,"Les Corts",21,"Pedralbes","Dones","Atur registrat","134"
2018,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Atur registrat","48"
2018,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Atur registrat","276"
2018,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Atur registrat","187"
2018,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Atur registrat","345"
2018,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Atur registrat","597"
2018,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Atur registrat","528"
2018,1,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Atur registrat","341"
2018,1,6,"Gràcia",29,"el Coll","Dones","Atur registrat","143"
2018,1,6,"Gràcia",30,"la Salut","Dones","Atur registrat","298"
2018,1,6,"Gràcia",31,"la Vila de Gràcia","Dones","Atur registrat","1168"
2018,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Atur registrat","749"
2018,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Atur registrat","585"
2018,1,7,"Horta-Guinardó",34,"Can Baró","Dones","Atur registrat","214"
2018,1,7,"Horta-Guinardó",35,"el Guinardó","Dones","Atur registrat","921"
2018,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Atur registrat","279"
2018,1,7,"Horta-Guinardó",37,"el Carmel","Dones","Atur registrat","951"
2018,1,7,"Horta-Guinardó",38,"la Teixonera","Dones","Atur registrat","281"
2018,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Atur registrat","169"
2018,1,7,"Horta-Guinardó",40,"Montbau","Dones","Atur registrat","122"
2018,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Atur registrat","130"
2018,1,7,"Horta-Guinardó",42,"la Clota","Dones","Atur registrat","9"
2018,1,7,"Horta-Guinardó",43,"Horta","Dones","Atur registrat","785"
2018,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Atur registrat","733"
2018,1,8,"Nou Barris",45,"Porta","Dones","Atur registrat","732"
2018,1,8,"Nou Barris",46,"el Turó de la Peira","Dones","Atur registrat","450"
2018,1,8,"Nou Barris",47,"Can Peguera","Dones","Atur registrat","64"
2018,1,8,"Nou Barris",48,"la Guineueta","Dones","Atur registrat","536"
2018,1,8,"Nou Barris",49,"Canyelles","Dones","Atur registrat","262"
2018,1,8,"Nou Barris",50,"les Roquetes","Dones","Atur registrat","567"
2018,1,8,"Nou Barris",51,"Verdun","Dones","Atur registrat","435"
2018,1,8,"Nou Barris",52,"la Prosperitat","Dones","Atur registrat","822"
2018,1,8,"Nou Barris",53,"la Trinitat Nova","Dones","Atur registrat","354"
2018,1,8,"Nou Barris",54,"Torre Baró","Dones","Atur registrat","97"
2018,1,8,"Nou Barris",55,"Ciutat Meridiana","Dones","Atur registrat","508"
2018,1,8,"Nou Barris",56,"Vallbona","Dones","Atur registrat","59"
2018,1,9,"Sant Andreu",57,"la Trinitat Vella","Dones","Atur registrat","470"
2018,1,9,"Sant Andreu",58,"Baró de Viver","Dones","Atur registrat","69"
2018,1,9,"Sant Andreu",59,"el Bon Pastor","Dones","Atur registrat","395"
2018,1,9,"Sant Andreu",60,"Sant Andreu","Dones","Atur registrat","1597"
2018,1,9,"Sant Andreu",61,"la Sagrera","Dones","Atur registrat","732"
2018,1,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","Atur registrat","356"
2018,1,9,"Sant Andreu",63,"Navas","Dones","Atur registrat","549"
2018,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","Atur registrat","978"
2018,1,10,"Sant Martí",65,"el Clot","Dones","Atur registrat","688"
2018,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","Atur registrat","340"
2018,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","Atur registrat","222"
2018,1,10,"Sant Martí",68,"el Poblenou","Dones","Atur registrat","765"
2018,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Atur registrat","354"
2018,1,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Atur registrat","814"
2018,1,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Atur registrat","567"
2018,1,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Atur registrat","811"
2018,1,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Atur registrat","921"
2018,1,99,"No consta",99,"No consta","Dones","Atur registrat","3"
2018,1,1,"Ciutat Vella",1,"el Raval","Dones","Demanda no aturats","400"
2018,1,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Demanda no aturats","115"
2018,1,1,"Ciutat Vella",3,"la Barceloneta","Dones","Demanda no aturats","139"
2018,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Demanda no aturats","190"
2018,1,2,"Eixample",5,"el Fort Pienc","Dones","Demanda no aturats","179"
2018,1,2,"Eixample",6,"la Sagrada Família","Dones","Demanda no aturats","296"
2018,1,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Demanda no aturats","199"
2018,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Demanda no aturats","224"
2018,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Demanda no aturats","358"
2018,1,2,"Eixample",10,"Sant Antoni","Dones","Demanda no aturats","245"
2018,1,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Demanda no aturats","283"
2018,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Demanda no aturats","10"
2018,1,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Demanda no aturats","208"
2018,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Demanda no aturats","71"
2018,1,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Demanda no aturats","111"
2018,1,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Demanda no aturats","130"
2018,1,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Demanda no aturats","137"
2018,1,3,"Sants-Montjuïc",18,"Sants","Dones","Demanda no aturats","266"
2018,1,4,"Les Corts",19,"les Corts","Dones","Demanda no aturats","279"
2018,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Demanda no aturats","136"
2018,1,4,"Les Corts",21,"Pedralbes","Dones","Demanda no aturats","28"
2018,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Demanda no aturats","11"
2018,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Demanda no aturats","59"
2018,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Demanda no aturats","42"
2018,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Demanda no aturats","74"
2018,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Demanda no aturats","141"
2018,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Demanda no aturats","141"
2018,1,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Demanda no aturats","93"
2018,1,6,"Gràcia",29,"el Coll","Dones","Demanda no aturats","39"
2018,1,6,"Gràcia",30,"la Salut","Dones","Demanda no aturats","85"
2018,1,6,"Gràcia",31,"la Vila de Gràcia","Dones","Demanda no aturats","314"
2018,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Demanda no aturats","200"
2018,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Demanda no aturats","154"
2018,1,7,"Horta-Guinardó",34,"Can Baró","Dones","Demanda no aturats","61"
2018,1,7,"Horta-Guinardó",35,"el Guinardó","Dones","Demanda no aturats","219"
2018,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Demanda no aturats","62"
2018,1,7,"Horta-Guinardó",37,"el Carmel","Dones","Demanda no aturats","212"
2018,1,7,"Horta-Guinardó",38,"la Teixonera","Dones","Demanda no aturats","73"
2018,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Demanda no aturats","46"
2018,1,7,"Horta-Guinardó",40,"Montbau","Dones","Demanda no aturats","33"
2018,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Demanda no aturats","36"
2018,1,7,"Horta-Guinardó",42,"la Clota","Dones","Demanda no aturats","2"
2018,1,7,"Horta-Guinardó",43,"Horta","Dones","Demanda no aturats","179"
2018,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Demanda no aturats","170"
2018,1,8,"Nou Barris",45,"Porta","Dones","Demanda no aturats","164"
2018,1,8,"Nou Barris",46,"el Turó de la Peira","Dones","Demanda no aturats","104"
2018,1,8,"Nou Barris",47,"Can Peguera","Dones","Demanda no aturats","15"
2018,1,8,"Nou Barris",48,"la Guineueta","Dones","Demanda no aturats","117"
2018,1,8,"Nou Barris",49,"Canyelles","Dones","Demanda no aturats","57"
